Game ID,Date,Away Team,Away Score,Away ML Open,Away ML Close,Over Open,Over Open Odds,Over Close,Over Close Odds,Home Team,Home Score,Home ML Open,Home ML Close,Under Open,Under Open Odds,Under Close,Under Close Odds
9607,20081005,Ottawa,3,-110,-110,6,-120,6,105,Pittsburgh,1,-110,-110,6,100,6,-125
9608,20081009,Toronto,3,260,260,5.5,105,5.5,-101,Detroit,2,-320,-290,5.5,-125,5.5,-109
9609,20081009,Boston,5,110,120,5.5,105,5.5,105,Colorado,4,-130,-140,5.5,-125,5.5,-125
9610,20081009,Calgary,0,109,110,5,-125,5,-135,Vancouver,6,-129,-130,5,105,5,115
9611,20081009,Anaheim,1,122,120,5,-105,5,-105,San Jose,4,-142,-140,5,-115,5,-115
9612,20081010,N.Y. Islanders,1,180,189,5,-105,5,100,New Jersey,2,-220,-208,5,-115,5,-110
9613,20081010,Chicago,2,120,122,5.5,115,5.5,125,N.Y. Rangers,4,-140,-132,5.5,-135,5.5,-135
9614,20081010,Florida,4,130,134,6,125,6,128,Carolina,6,-150,-144,6,-145,6,-138
9615,20081010,Montreal,1,-110,-106,6,110,6,118,Buffalo,2,-110,-104,6,-130,6,-128
9616,20081010,Washington,4,-143,-136,6,120,6,125,Atlanta,7,123,126,6,-140,6,-135
9617,20081010,Nashville,2,-105,-105,5,-130,5,-135,St. Louis,5,-115,-105,5,110,5,125
9618,20081010,Columbus,5,150,152,5,-110,5,-115,Dallas,4,-170,-162,5,-110,5,105
9619,20081011,Montreal,6,-130,-123,5.5,-110,5.5,-109,Toronto,1,110,113,5.5,-110,5.5,-101
9620,20081011,Detroit,3,-140,-139,5.5,100,5.5,115,Ottawa,2,120,129,5.5,-120,5.5,-125
9621,20081011,St. Louis,2,-105,-105,5,-110,5,-115,N.Y. Islanders,5,-115,-105,5,-110,5,105
9622,20081011,N.Y. Rangers,4,125,120,5.5,-120,5.5,115,Philadelphia,3,-145,-130,5.5,100,5.5,-125
9623,20081011,Chicago,2,120,116,5.5,-105,5.5,-105,Washington,4,-140,-126,5.5,-115,5.5,-105
9624,20081011,Atlanta,2,135,134,5.5,-105,5.5,105,Florida,3,-155,-144,5.5,-115,5.5,-115
